,gene,essential
495,SYNPCC7942_RS13795,False
496,SYNPCC7942_RS08720,False
497,SYNPCC7942_RS08725,True
498,SYNPCC7942_RS08735,False
499,SYNPCC7942_RS08740,False
500,SYNPCC7942_RS08745,True
501,SYNPCC7942_RS08765,False
502,SYNPCC7942_RS08770,False
503,SYNPCC7942_RS08800,False
504,SYNPCC7942_RS08825,True
505,SYNPCC7942_RS08830,True
506,SYNPCC7942_RS08835,True
507,SYNPCC7942_RS08840,True
508,SYNPCC7942_RS08845,True
509,SYNPCC7942_RS08855,True
510,SYNPCC7942_RS08860,True
511,SYNPCC7942_RS08865,True
512,SYNPCC7942_RS08870,True
513,SYNPCC7942_RS08875,True
514,SYNPCC7942_RS08945,False
515,SYNPCC7942_RS08975,False
516,SYNPCC7942_RS08980,False
517,SYNPCC7942_RS09055,True
518,SYNPCC7942_RS09105,True
519,SYNPCC7942_RS09115,False
520,SYNPCC7942_RS09185,True
521,SYNPCC7942_RS09190,False
522,SYNPCC7942_RS09195,False
523,SYNPCC7942_RS09235,False
524,SYNPCC7942_RS09260,False
525,SYNPCC7942_RS09280,True
526,SYNPCC7942_RS09290,True
527,SYNPCC7942_RS09325,False
528,SYNPCC7942_RS09340,True
529,SYNPCC7942_RS09355,False
530,SYNPCC7942_RS09370,True
531,SYNPCC7942_RS09375,True
532,SYNPCC7942_RS09385,True
533,SYNPCC7942_RS09390,True
534,SYNPCC7942_RS09395,True
535,SYNPCC7942_RS09400,True
536,SYNPCC7942_RS09405,True
537,SYNPCC7942_RS09410,True
538,SYNPCC7942_RS09420,False
539,SYNPCC7942_RS09425,True
540,SYNPCC7942_RS09440,False
541,SYNPCC7942_RS09465,False
542,SYNPCC7942_RS09540,False
543,SYNPCC7942_RS09545,False
544,SYNPCC7942_RS09555,True
545,SYNPCC7942_RS09570,False
546,SYNPCC7942_RS09580,False
547,SYNPCC7942_RS09600,False
548,SYNPCC7942_RS09605,False
549,SYNPCC7942_RS09615,True
550,SYNPCC7942_RS09625,True
551,SYNPCC7942_RS09635,True
552,SYNPCC7942_RS09640,False
553,SYNPCC7942_RS09645,False
554,SYNPCC7942_RS09650,False
555,SYNPCC7942_RS09670,True
556,SYNPCC7942_RS09675,False
557,SYNPCC7942_RS09705,False
558,SYNPCC7942_RS09720,True
559,SYNPCC7942_RS09735,False
560,SYNPCC7942_RS09745,True
561,SYNPCC7942_RS09780,True
562,SYNPCC7942_RS09790,True
563,SYNPCC7942_RS09810,False
564,SYNPCC7942_RS09815,False
565,SYNPCC7942_RS09840,False
566,SYNPCC7942_RS09865,True
567,SYNPCC7942_RS09915,False
568,SYNPCC7942_RS09920,True
569,SYNPCC7942_RS09925,True
570,SYNPCC7942_RS09940,True
571,SYNPCC7942_RS09955,False
572,SYNPCC7942_RS09960,False
573,SYNPCC7942_RS09965,True
574,SYNPCC7942_RS09980,True
575,Synpcc7942_1971,False
576,SYNPCC7942_RS10005,True
577,SYNPCC7942_RS10020,False
578,SYNPCC7942_RS10025,False
579,SYNPCC7942_RS10035,False
580,SYNPCC7942_RS10050,True
581,SYNPCC7942_RS10055,True
582,SYNPCC7942_RS10060,True
583,SYNPCC7942_RS10100,False
584,SYNPCC7942_RS10105,False
585,SYNPCC7942_RS10110,False
586,SYNPCC7942_RS10115,True
587,SYNPCC7942_RS10140,False
588,SYNPCC7942_RS10180,True
589,SYNPCC7942_RS10185,False
590,Synpcc7942_2010,True
591,SYNPCC7942_RS10225,False
592,SYNPCC7942_RS10275,True
593,SYNPCC7942_RS10280,True
594,SYNPCC7942_RS10285,True
595,SYNPCC7942_RS10290,True
596,SYNPCC7942_RS10295,True
597,SYNPCC7942_RS10300,True
598,SYNPCC7942_RS10355,True
599,SYNPCC7942_RS10365,False
600,SYNPCC7942_RS10380,False
601,SYNPCC7942_RS10385,False
602,SYNPCC7942_RS10390,True
603,SYNPCC7942_RS10395,True
604,SYNPCC7942_RS10425,True
605,SYNPCC7942_RS10435,True
606,SYNPCC7942_RS10440,True
607,SYNPCC7942_RS10460,True
608,SYNPCC7942_RS10465,False
609,SYNPCC7942_RS10470,True
610,SYNPCC7942_RS10535,False
611,SYNPCC7942_RS10540,False
612,SYNPCC7942_RS10545,False
613,SYNPCC7942_RS10565,True
614,SYNPCC7942_RS10580,True
615,SYNPCC7942_RS10595,True
616,SYNPCC7942_RS10600,False
617,SYNPCC7942_RS10605,False
618,SYNPCC7942_RS10610,False
619,SYNPCC7942_RS10615,False
620,SYNPCC7942_RS10635,False
621,SYNPCC7942_RS10640,False
622,SYNPCC7942_RS10645,False
623,SYNPCC7942_RS10650,False
624,SYNPCC7942_RS10665,False
625,SYNPCC7942_RS10670,False
626,SYNPCC7942_RS10675,False
627,Synpcc7942_2107,False
628,SYNPCC7942_RS10695,True
629,SYNPCC7942_RS10700,False
630,SYNPCC7942_RS10710,True
631,SYNPCC7942_RS10735,True
632,SYNPCC7942_RS10760,True
633,SYNPCC7942_RS10765,True
634,SYNPCC7942_RS10815,False
635,SYNPCC7942_RS10825,False
636,SYNPCC7942_RS10835,True
637,SYNPCC7942_RS10840,True
638,SYNPCC7942_RS10880,True
639,SYNPCC7942_RS10895,False
640,SYNPCC7942_RS10930,False
641,SYNPCC7942_RS10955,False
642,SYNPCC7942_RS10975,False
643,SYNPCC7942_RS11000,False
644,SYNPCC7942_RS11055,False
645,SYNPCC7942_RS11065,False
646,SYNPCC7942_RS11110,False
647,SYNPCC7942_RS11120,True
648,SYNPCC7942_RS11160,True
649,SYNPCC7942_RS11170,True
650,SYNPCC7942_RS11185,True
651,SYNPCC7942_RS11240,True
652,SYNPCC7942_RS11345,True
653,SYNPCC7942_RS11355,False
654,SYNPCC7942_RS11385,False
655,SYNPCC7942_RS11395,True
656,SYNPCC7942_RS11400,False
657,SYNPCC7942_RS11425,False
658,SYNPCC7942_RS11450,True
659,SYNPCC7942_RS11455,False
660,SYNPCC7942_RS13830,False
661,SYNPCC7942_RS11475,False
662,SYNPCC7942_RS11500,True
663,SYNPCC7942_RS11510,True
664,SYNPCC7942_RS11515,False
665,SYNPCC7942_RS11525,True
666,SYNPCC7942_RS11540,False
667,SYNPCC7942_RS11545,True
668,SYNPCC7942_RS11555,True
669,SYNPCC7942_RS11585,False
670,SYNPCC7942_RS11615,False
671,SYNPCC7942_RS11620,True
672,SYNPCC7942_RS11625,True
673,SYNPCC7942_RS11630,False
674,SYNPCC7942_RS11635,True
675,SYNPCC7942_RS11640,True
676,SYNPCC7942_RS11645,True
677,SYNPCC7942_RS11670,False
678,SYNPCC7942_RS11675,False
679,SYNPCC7942_RS11705,True
680,SYNPCC7942_RS11710,False
681,SYNPCC7942_RS11730,False
682,SYNPCC7942_RS11740,True
683,SYNPCC7942_RS11755,True
684,SYNPCC7942_RS11770,True
685,SYNPCC7942_RS11775,False
686,SYNPCC7942_RS11780,False
687,SYNPCC7942_RS11800,True
688,SYNPCC7942_RS11805,True
689,SYNPCC7942_RS11815,False
690,SYNPCC7942_RS11850,True
691,SYNPCC7942_RS11855,True
692,SYNPCC7942_RS11865,False
693,SYNPCC7942_RS11870,False
694,SYNPCC7942_RS11885,True
695,SYNPCC7942_RS11895,True
696,SYNPCC7942_RS11900,False
697,SYNPCC7942_RS11905,False
698,SYNPCC7942_RS11930,False
699,SYNPCC7942_RS11955,True
700,SYNPCC7942_RS11985,True
701,SYNPCC7942_RS11990,False
702,SYNPCC7942_RS11995,True
703,SYNPCC7942_RS12000,True
704,SYNPCC7942_RS12050,False
705,SYNPCC7942_RS12060,False
706,SYNPCC7942_RS12070,True
707,SYNPCC7942_RS12090,False
708,SYNPCC7942_RS12100,True
709,SYNPCC7942_RS12105,False
710,SYNPCC7942_RS12115,False
711,SYNPCC7942_RS12130,False
712,SYNPCC7942_RS12135,False
713,SYNPCC7942_RS12145,False
714,SYNPCC7942_RS12160,True
715,SYNPCC7942_RS12165,True
716,SYNPCC7942_RS12205,False
717,SYNPCC7942_RS12230,True
718,SYNPCC7942_RS12245,True
719,SYNPCC7942_RS12270,True
720,SYNPCC7942_RS12295,False
721,SYNPCC7942_RS12325,False
722,SYNPCC7942_RS12365,True
723,SYNPCC7942_RS12380,True
724,SYNPCC7942_RS12395,True
725,SYNPCC7942_RS12405,True
726,SYNPCC7942_RS12410,True
727,SYNPCC7942_RS12415,True
728,SYNPCC7942_RS12420,False
729,SYNPCC7942_RS12425,False
730,Synpcc7942_2454,False
731,SYNPCC7942_RS12485,True
732,SYNPCC7942_RS12505,True
733,SYNPCC7942_RS12520,True
734,SYNPCC7942_RS12525,False
735,SYNPCC7942_RS12540,True
736,SYNPCC7942_RS12575,True
737,SYNPCC7942_RS12590,False
738,SYNPCC7942_RS12600,False
739,SYNPCC7942_RS12620,False
740,SYNPCC7942_RS12670,False
741,SYNPCC7942_RS12690,True
742,SYNPCC7942_RS12700,True
743,SYNPCC7942_RS12715,False
744,SYNPCC7942_RS12725,False
745,SYNPCC7942_RS12755,True
746,SYNPCC7942_RS12760,True
747,SYNPCC7942_RS12785,False
748,SYNPCC7942_RS12805,True
749,SYNPCC7942_RS12830,False
750,SYNPCC7942_RS12855,False
751,SYNPCC7942_RS12930,True
752,SYNPCC7942_RS12945,True
753,SYNPCC7942_RS12970,False
754,SYNPCC7942_RS12975,False
755,SYNPCC7942_RS12980,False
756,SYNPCC7942_RS12985,False
757,SYNPCC7942_RS12990,False
758,SYNPCC7942_RS12995,False
759,SYNPCC7942_RS13015,True
760,SYNPCC7942_RS13030,True
761,SYNPCC7942_RS13045,True
762,SYNPCC7942_RS13055,True
763,SYNPCC7942_RS13060,True
764,SYNPCC7942_RS13075,False
765,SYNPCC7942_RS13080,False
766,SYNPCC7942_RS13085,False
767,SYNPCC7942_RS13120,False
768,SYNPCC7942_RS13150,False
769,SYNPCC7942_RS13180,True
770,SYNPCC7942_RS13200,True
771,SYNPCC7942_RS13245,False
772,SYNPCC7942_RS13250,False
773,SYNPCC7942_RS13255,False
774,SYNPCC7942_RS13260,False
775,SYNPCC7942_RS13265,False
776,SYNPCC7942_RS13275,True
